from,to,cost
3,183,7505.60009765625
3,184,4962.10009765625
3,187,5554.7998046875
3,188,2984.699951171875
3,191,2294.199951171875
3,192,608.2999877929688
3,193,3540.39990234375
3,195,2555.300048828125
3,196,6213.89990234375
3,198,5906.5
3,206,7604.39990234375
4,1,6606.7001953125
4,2,9111.2998046875
4,3,1767.4000244140625
4,5,4464.0
4,6,3655.89990234375
4,7,9113.099609375
4,12,4961.7001953125
4,15,336.5
4,16,3756.89990234375
4,17,2715.89990234375
4,19,10301.5
4,23,6873.60009765625
4,28,8533.2001953125
4,29,9362.2998046875
4,30,5451.5
4,33,1211.0
4,38,5529.7001953125
4,48,6495.60009765625
4,49,5267.89990234375
4,56,8531.599609375
4,64,7523.5
4,65,7305.60009765625
4,78,9839.900390625
4,80,3411.0
4,91,3902.5
4,93,2607.39990234375
4,94,9802.7998046875
4,97,7972.60009765625
4,101,6352.60009765625
4,107,10092.5
4,109,9351.400390625
4,123,6178.7001953125
4,124,6610.0
4,127,9180.599609375
4,128,6929.89990234375
4,129,6508.7998046875
4,133,6982.2001953125
4,134,7063.7998046875
4,135,5473.39990234375
4,136,3576.800048828125
4,138,3191.300048828125
4,139,8261.0
4,144,1563.9000244140625
4,147,7328.5
4,154,6498.7001953125
4,155,7753.2998046875
4,157,5930.60009765625
4,159,7695.60009765625
4,160,6350.60009765625
4,161,4790.60009765625
4,162,5421.5
4,163,8194.900390625
4,165,6624.5
4,166,4524.2001953125
4,170,6654.2001953125
4,174,5996.2998046875
4,177,7322.2001953125
4,183,7306.39990234375
4,184,4682.2998046875
4,187,6855.39990234375
4,188,4285.2998046875
4,191,3594.699951171875
4,192,1908.800048828125
4,193,4476.0
4,195,3855.89990234375
4,196,4468.2001953125
4,198,7207.10009765625
4,206,8905.0
5,1,6596.0
5,2,9100.7001953125
5,3,861.5999755859375
5,4,2607.199951171875
5,6,4654.7998046875
5,7,9102.400390625
5,12,4629.7998046875
5,15,1335.4000244140625
5,16,4755.89990234375
5,17,2277.0
5,19,9862.599609375
5,23,7872.60009765625
5,28,8522.5
5,30,6450.5
5,33,2210.0
5,38,6408.39990234375
5,48,7494.60009765625
5,49,5257.2998046875
5,56,8520.900390625
5,64,8522.5
5,65,8304.599609375
5,78,9829.2001953125
5,80,2972.10009765625
5,91,4901.5
5,93,3606.39990234375
5,94,9363.900390625
5,96,10011.2001953125
5,97,7533.60009765625
5,101,7351.5
5,107,10081.900390625
5,109,9340.7001953125
5,123,6168.10009765625
5,124,7608.89990234375
5,127,8741.7001953125
5,128,6490.89990234375
5,129,6498.2001953125
5,133,7981.2001953125
5,134,8062.7998046875
5,135,5462.7998046875
5,136,4575.7001953125
5,138,4190.2998046875
5,139,8250.2998046875
5,144,2562.89990234375
5,147,7317.7998046875
5,154,6059.7001953125
5,155,7314.2998046875
5,157,5491.7001953125
5,159,7256.7001953125
5,160,5911.60009765625
5,161,4351.60009765625
5,162,4982.5
5,163,7756.0
5,165,7623.5
5,166,5523.10009765625
5,170,6875.0
5,174,6995.2998046875
5,177,7311.60009765625
5,183,7295.7001953125
5,184,4671.7001953125
5,187,6416.39990234375
5,188,3846.39990234375
5,191,3155.800048828125
5,192,1469.9000244140625
5,193,4402.10009765625
5,195,3416.89990234375
5,196,5467.2001953125
5,198,6768.10009765625
5,206,8466.0
6,1,9452.7998046875
6,3,5264.39990234375
6,4,6985.0
6,5,4402.7998046875
6,12,9032.7001953125
6,15,5738.2998046875
6,16,3837.5
6,17,6679.7998046875
6,23,5611.60009765625
6,29,8119.7998046875
6,30,5348.89990234375
6,33,5847.2001953125
6,38,5504.10009765625
6,48,6320.2998046875
6,49,8847.900390625
6,64,6281.0
6,65,6399.39990234375
6,80,7374.89990234375
6,91,2437.0
6,93,3450.699951171875
6,101,6433.2001953125
6,123,9768.2001953125
6,124,3009.10009765625
6,133,7062.89990234375
6,134,5771.39990234375
6,135,9062.900390625
6,136,3515.60009765625
6,138,4125.7001953125
6,144,6200.0
6,157,9894.5
6,160,10314.5
6,161,8754.5
6,162,9385.400390625
6,165,5362.39990234375
6,166,4604.7998046875
6,170,8850.900390625
6,174,2340.300048828125
6,177,10168.400390625
6,183,10180.7998046875
6,184,8485.7998046875
6,188,8249.2001953125
6,191,7558.7001953125
6,192,5872.7998046875
6,193,8804.900390625
6,195,7819.7998046875
6,196,4548.89990234375
7,1,5926.2998046875
7,2,4436.7001953125
7,11,2510.10009765625
7,13,8924.0
7,21,9922.5
7,24,7896.7998046875
7,25,8318.599609375
7,27,2538.699951171875
7,28,5531.0
7,29,10144.7001953125
7,30,9393.400390625
7,44,7125.89990234375
7,45,3490.300048828125
7,46,5795.0
7,48,9934.400390625
7,49,6775.2998046875
7,50,9632.5
7,51,7467.89990234375
7,53,5486.5
7,55,4275.5
7,56,10148.0
7,58,8062.39990234375
7,62,7193.7998046875
7,64,8305.900390625
7,65,8461.599609375
7,78,5165.2001953125
7,79,3281.699951171875
7,85,1954.699951171875
7,92,3487.300048828125
7,95,8043.7998046875
7,101,10448.0
7,106,5160.7998046875
7,107,979.2999877929688
7,108,2572.10009765625
7,109,8963.0
7,110,3651.0
7,112,9120.0
7,114,8272.099609375
7,120,7573.60009765625
7,123,7275.5
7,125,7452.7998046875
7,126,10474.7001953125
7,129,7141.10009765625
7,132,3082.89990234375
7,135,8579.2001953125
7,139,8190.10009765625
7,143,9860.900390625
7,147,7960.7001953125
7,152,8517.7998046875
7,153,2089.199951171875
7,167,4959.2001953125
7,168,6244.60009765625
7,169,7127.2001953125
7,170,9322.2001953125
7,171,4025.89990234375
7,173,5762.39990234375
7,177,6641.89990234375
7,178,9138.099609375
7,179,2216.0
7,183,6374.10009765625
7,184,9761.2998046875
7,189,9645.099609375
7,201,2435.5
7,202,5461.7998046875
7,203,5370.7001953125
8,9,5397.0
8,14,1464.800048828125
8,34,5507.2998046875
8,41,7719.7001953125
8,43,5415.7001953125
8,47,10527.2998046875
8,52,10137.5
8,59,6378.0
8,60,9301.7001953125
8,63,9268.0
8,76,6877.0
8,77,4015.10009765625
8,81,7540.2998046875
8,82,6070.2998046875
8,83,9619.900390625
8,84,3668.199951171875
8,86,8019.7998046875
8,87,8469.599609375
8,88,2593.300048828125
8,89,4570.60009765625
8,99,10487.599609375
8,100,9104.5
8,104,8359.2001953125
8,130,4899.89990234375
8,131,9184.099609375
8,137,9313.400390625
8,146,5046.7001953125
8,148,7078.2001953125
8,150,9636.900390625
8,151,1933.4000244140625
8,158,8629.599609375
8,172,7384.89990234375
8,180,7668.7001953125
8,181,8860.5
8,182,5282.2001953125
8,185,169.1999969482422
8,186,3783.699951171875
8,197,7261.7001953125
8,204,6916.60009765625
9,14,8522.599609375
9,34,5629.89990234375
9,41,5936.89990234375
9,43,2508.0
9,47,7782.39990234375
9,52,6977.60009765625
9,59,10481.599609375
9,60,6170.10009765625
9,63,6136.5
9,73,8605.099609375
9,75,8768.099609375
9,76,3951.60009765625
9,77,4317.89990234375
9,81,4643.10009765625
9,82,3145.0
9,84,8092.0
9,86,6175.0
9,87,8174.39990234375
9,88,7017.10009765625
9,89,4693.2998046875
9,100,8809.2001953125
9,104,3749.5
9,130,5202.60009765625
9,131,6286.89990234375
9,137,6153.5
9,141,9352.400390625
9,146,3202.0
9,148,6556.5
9,150,9338.7001953125
9,151,6658.2001953125
9,158,5732.39990234375
9,164,7794.60009765625
9,172,5540.2001953125
9,180,7364.60009765625
9,181,8732.2001953125
9,182,9385.7001953125
9,186,7277.7998046875
9,197,5478.89990234375
9,204,5574.2998046875
10,0,8761.5
10,9,10375.7998046875
10,20,8846.7998046875
10,22,8037.0
10,31,2037.699951171875
10,32,10104.099609375
10,36,6668.2001953125
10,40,4001.199951171875
10,47,5930.2001953125
10,52,8542.900390625
10,60,7556.0
10,61,9554.2001953125
10,63,7522.2998046875
10,67,5927.10009765625
10,68,6900.2998046875
10,69,5530.2001953125
10,70,4534.5
10,71,6902.2001953125
10,72,5301.5
10,73,6907.7001953125
10,75,6915.7998046875
10,77,8993.900390625
10,81,9041.400390625
10,83,4616.39990234375
10,89,9376.400390625
10,90,9853.400390625
10,98,7554.0
10,99,4792.5
10,102,5711.39990234375
10,103,6242.10009765625
10,113,5218.5
10,115,8128.2998046875
10,117,8348.7998046875
10,118,5139.5
10,122,3458.300048828125
10,130,9878.7001953125
10,137,7718.7998046875
10,140,9663.2998046875
10,141,4579.2998046875
10,142,10237.7001953125
10,145,9694.7001953125
10,146,10025.5
10,149,6877.39990234375
10,156,1015.2000122070312
10,158,10130.7001953125
10,164,6097.10009765625
10,175,7944.10009765625
10,176,2380.39990234375
10,190,4853.89990234375
10,194,9583.0
10,199,9608.099609375
10,205,7433.5
11,1,8244.7998046875
11,2,6755.2001953125
11,7,6552.2998046875
11,13,8674.900390625
11,18,9627.5
11,21,7412.2998046875
11,24,9200.2001953125
11,25,9881.7998046875
11,27,4857.2001953125
11,28,7849.5
11,35,7973.7998046875
11,44,9294.5
11,45,5345.60009765625
11,46,3284.800048828125
11,49,9093.7998046875
11,50,7122.2998046875
11,51,9031.099609375
11,53,5237.39990234375
11,55,1765.199951171875
11,58,7813.2998046875
11,62,6944.7001953125
11,66,8019.0
11,78,7483.7001953125
11,79,5600.2001953125
11,85,4273.2001953125
11,92,977.0999755859375
11,95,7910.0
11,105,10583.5
11,106,2650.60009765625
11,107,7531.7998046875
11,108,3288.0
11,109,10556.0
11,110,4763.89990234375
11,112,8870.900390625
11,114,8023.0
11,120,9136.7998046875
11,121,9637.599609375
11,123,9594.0
11,125,7203.7001953125
11,126,7964.5
11,129,8734.099609375
11,132,3798.800048828125
11,139,9783.099609375
11,142,10550.7001953125
11,143,9611.7998046875
11,147,9553.7001953125
11,153,8641.7001953125
11,167,4710.10009765625
11,168,5995.5
11,169,7125.7998046875
11,171,3614.89990234375
11,173,5513.2998046875
11,177,8960.400390625
11,179,3693.39990234375
11,183,8692.599609375
11,189,7134.89990234375
11,200,9074.5
11,201,8988.0
11,202,5050.7998046875
11,203,7226.0
12,1,7086.7001953125
12,2,9574.400390625
12,3,3969.0
12,4,2201.5
12,5,6665.5
12,6,5857.39990234375
12,7,9593.099609375
12,15,2538.0
12,16,5958.5
12,17,2447.199951171875
12,19,8436.2998046875
12,20,11122.2998046875
12,22,10312.5
12,23,9075.2001953125
12,28,9013.2001953125
12,30,7653.10009765625
12,33,3412.60009765625
12,38,7633.89990234375
12,39,9249.7001953125
12,48,8697.2001953125
12,49,6061.7998046875
12,56,8521.099609375
12,57,9567.5
12,64,9725.099609375
12,65,9507.2001953125
12,74,10180.5
12,80,1646.699951171875
12,91,6104.10009765625
12,93,4809.0
12,94,7937.60009765625
12,96,8584.900390625
12,97,6107.2998046875
12,101,8554.099609375
12,109,9038.5
12,119,10546.0
12,123,6658.7998046875
12,124,8811.5
12,127,7315.39990234375
12,128,5064.60009765625
12,129,6637.10009765625
12,133,9183.7998046875
12,134,9265.400390625
12,135,6267.2998046875
12,136,5778.2998046875
12,138,5392.89990234375
12,139,7948.0
12,144,3765.5
12,147,7456.7001953125
12,154,4633.39990234375
12,155,5888.10009765625
12,157,4065.39990234375
12,159,5830.39990234375
12,160,4485.2998046875
12,161,2925.300048828125
12,162,3556.199951171875
12,163,6329.7001953125
12,165,8826.099609375
12,166,6725.7001953125
12,170,7686.89990234375
12,174,8197.900390625
12,177,7802.2998046875
12,183,7786.39990234375
12,184,5476.2001953125
12,187,4990.10009765625
12,188,2420.10009765625
12,191,1376.699951171875
12,192,2874.10009765625
12,193,664.0
12,195,2091.5
12,196,6669.7998046875
12,198,5341.89990234375
12,206,7039.7001953125
13,0,2995.60009765625
13,10,8177.0
13,11,10419.900390625
13,19,8746.7001953125
13,20,7475.7998046875
13,22,6666.0
13,24,4955.89990234375
13,25,7416.0
13,31,10181.599609375
13,32,8733.099609375
13,36,7570.7998046875
13,37,2523.60009765625
13,39,9560.099609375
13,40,10018.2998046875
13,42,4040.5
13,51,8269.099609375
13,53,7035.2998046875
13,54,2738.0
13,55,10553.7001953125
13,57,9877.900390625
13,58,7220.60009765625
13,61,6520.5
13,62,7561.2998046875
13,67,6829.60009765625
13,68,7809.7001953125
13,70,10551.599609375
13,71,7820.5
13,72,7209.89990234375
13,74,10490.900390625
13,85,10603.099609375
13,94,11272.900390625
13,95,5005.5
13,96,9138.2998046875
13,98,8463.400390625
13,102,8288.5
13,103,7562.89990234375
13,108,10291.599609375
13,109,10497.2998046875
13,111,3582.10009765625
13,112,8278.2001953125
13,113,8837.099609375
13,114,7430.2998046875
13,115,5275.5
13,116,2347.0
13,117,5315.10009765625
13,118,7275.89990234375
13,119,10856.400390625
13,120,6671.0
13,125,4299.2001953125
13,127,10522.2998046875
13,129,10040.7001953125
13,132,10128.7001953125
13,139,8659.5
13,140,3745.800048828125
13,141,9554.2001953125
13,142,1875.5999755859375
13,143,936.7000122070312
13,145,3928.800048828125
13,156,9159.099609375
13,167,9209.7001953125
13,168,6419.89990234375
13,169,5636.2998046875
13,171,7973.60009765625
13,173,7646.5
13,175,7416.39990234375
13,179,9789.2001953125
13,190,7137.10009765625
13,194,7315.10009765625
13,199,3690.60009765625
13,202,9603.7001953125
13,205,8351.7998046875
13,206,10246.599609375
14,8,9950.900390625
14,9,3932.10009765625
14,31,10393.599609375
14,34,4042.39990234375
14,41,6254.7998046875
14,43,3950.800048828125
14,47,9264.400390625
14,52,8672.599609375
14,59,8894.0
14,60,7836.7998046875
14,63,7803.10009765625
14,73,10241.900390625
14,75,10250.0
14,76,5412.10009765625
14,77,2550.199951171875
14,81,6075.39990234375
14,82,4605.39990234375
14,84,2203.300048828125
14,86,6554.89990234375
14,87,8489.5
14,88,1128.4000244140625
14,89,3105.699951171875
14,100,9124.400390625
14,104,6894.2998046875
14,130,3435.0
14,131,7719.2001953125
14,137,7848.5
14,146,3581.800048828125
14,148,6743.2001953125
14,150,9747.5
14,151,468.5
14,158,7164.7001953125
14,164,9431.2998046875
14,172,5920.0
14,180,7333.7001953125
14,181,8880.400390625
14,182,7798.10009765625
14,185,10120.099609375
14,186,5690.2998046875
14,197,5796.7998046875
14,204,5451.7001953125
15,1,9510.599609375
15,3,4638.7998046875
15,4,5962.10009765625
15,5,4127.39990234375
15,6,3319.300048828125
15,12,8120.2001953125
15,16,3420.300048828125
15,17,6054.2001953125
15,23,6537.10009765625
15,29,9025.7001953125
15,30,5115.0
15,33,874.5
15,38,5193.10009765625
15,48,6159.10009765625
15,49,8430.7001953125
15,64,7186.89990234375
15,65,6969.0
15,80,6749.2998046875
15,91,3565.89990234375
15,93,2270.800048828125
15,101,6016.0
15,123,9351.0
15,124,6273.39990234375
15,128,10197.0
15,129,9743.7001953125
15,133,6645.7001953125
15,134,6727.2998046875
15,135,8645.7001953125
15,136,3240.199951171875
15,138,2854.800048828125
15,144,1227.300048828125
15,154,9765.7998046875
15,157,9197.7001953125
15,160,9617.7001953125
15,161,8057.7001953125
15,162,8688.599609375
15,165,6287.89990234375
15,166,4187.60009765625
15,170,8641.900390625
15,174,5659.7001953125
15,177,10226.2001953125
15,184,7917.2001953125
15,187,10122.5
15,188,7552.39990234375
15,191,6933.0
15,192,5247.2001953125
15,193,7634.39990234375
15,195,7194.2001953125
15,196,4131.60009765625
15,198,10474.2001953125
16,1,6090.2001953125
16,2,7909.7001953125
16,3,4700.39990234375
16,4,6416.39990234375
16,5,3838.699951171875
16,6,3591.300048828125
16,7,8010.2998046875
16,12,8468.599609375
16,15,5174.2001953125
16,17,6115.7998046875
16,23,3541.5
16,28,7430.39990234375
16,29,5605.2998046875
16,30,1694.5999755859375
16,33,5278.5
16,38,1772.699951171875
16,48,2738.699951171875
16,49,5010.39990234375
16,56,9154.7998046875
16,64,3766.60009765625
16,65,3548.699951171875
16,78,8638.2001953125
16,80,6810.89990234375
16,85,9965.2001953125
16,91,3522.300048828125
16,93,3547.800048828125
16,101,2595.60009765625
16,107,8989.7998046875
16,109,9694.900390625
16,123,5930.7001953125
16,124,5039.2001953125
16,128,10329.7001953125
16,129,6556.7001953125
16,133,3225.300048828125
16,134,3731.699951171875
16,135,5225.39990234375
16,136,3775.0
16,138,3460.0
16,139,8882.2001953125
16,144,5631.39990234375
16,147,7376.2998046875
16,153,10099.7001953125
16,154,9898.5
16,157,9330.5
16,160,9750.400390625
16,161,8190.39990234375
16,162,8821.2998046875
16,165,3292.39990234375
16,166,767.2000122070312
16,170,5422.5
16,174,5311.60009765625
16,177,6805.7998046875
16,179,10226.5
16,183,6818.2001953125
16,184,6431.0
16,187,10255.2001953125
16,188,7685.2001953125
16,191,6994.60009765625
16,192,5308.7001953125
16,193,8240.900390625
16,195,7255.7001953125
16,196,711.2999877929688
16,198,10606.900390625
17,1,8660.900390625
17,3,5638.60009765625
17,4,3871.10009765625
17,5,8308.7998046875
17,6,7527.10009765625
17,12,2352.800048828125
17,15,4207.7001953125
17,16,7628.10009765625
17,19,7585.5
17,20,10271.599609375
17,22,9461.7998046875
17,30,9322.7998046875
17,33,5082.2001953125
17,38,9208.099609375
17,39,8399.0
17,49,7635.89990234375
17,56,9335.2001953125
17,57,8716.7998046875
17,74,9329.7998046875
17,80,695.0
17,91,7773.7001953125
17,93,6478.60009765625
17,94,7086.89990234375
17,96,7734.2001953125
17,97,5256.60009765625
17,101,10223.7998046875
17,109,9353.7998046875
17,119,9695.2998046875
17,123,8232.900390625
17,127,6464.60009765625
17,128,4213.89990234375
17,129,7101.7998046875
17,135,7841.39990234375
17,136,7448.0
17,138,7062.60009765625
17,139,8263.400390625
17,144,5435.10009765625
17,147,7921.5
17,154,3782.699951171875
17,155,5037.2998046875
17,157,3214.60009765625
17,159,4979.7001953125
17,160,3634.60009765625
17,161,2074.60009765625
17,162,2705.5
17,163,5479.0
17,166,8395.400390625
17,170,9261.099609375
17,174,9770.7998046875
17,177,9376.5
17,183,9360.599609375
17,184,7050.39990234375
17,187,4139.39990234375
17,188,1569.300048828125
17,191,3046.300048828125
17,192,4543.7998046875
17,193,2333.60009765625
17,195,1139.9000244140625
17,196,8339.400390625
17,198,4491.10009765625
17,206,6189.0
18,11,9076.599609375
18,21,5779.2001953125
18,35,228.60000610351562
18,45,11002.099609375
18,46,9148.2001953125
18,50,5489.2001953125
18,55,7421.7001953125
18,66,4124.39990234375
18,85,9929.7001953125
18,92,10053.7998046875
18,105,6688.89990234375
18,106,8307.099609375
18,108,8944.400390625
18,110,10420.400390625
18,121,6273.2001953125
18,126,3978.60009765625
18,132,9455.2998046875
18,167,10375.2998046875
18,171,9280.099609375
18,179,9349.7998046875
18,189,3048.60009765625
18,200,7441.39990234375
19,0,5936.7998046875
19,10,6436.0
19,12,8321.0
19,13,8686.5
19,20,2695.10009765625
19,22,1885.300048828125
19,24,10074.0
19,31,8473.7998046875
19,32,3952.39990234375
19,36,6590.10009765625
19,37,7641.7001953125
19,39,813.4000244140625
19,40,8322.900390625
19,42,9158.599609375
19,47,9452.400390625
19,54,7856.10009765625
19,57,1131.0999755859375
19,61,7171.39990234375
19,67,5848.89990234375
19,68,3472.0
19,69,8748.7001953125
19,70,8856.2001953125
19,71,4304.2998046875
19,72,5453.39990234375
19,74,1744.0999755859375
19,80,9967.7001953125
19,94,5402.39990234375
19,95,10123.599609375
19,96,3267.800048828125
19,97,5487.5
19,98,4125.7998046875
19,102,5700.60009765625
19,103,3899.60009765625
19,111,8700.2998046875
19,113,7080.60009765625
19,115,5595.7001953125
19,116,7878.0
19,117,5965.89990234375
19,118,5835.0
19,119,2109.699951171875
19,122,9894.400390625
19,125,9417.2998046875
19,127,4651.7998046875
19,128,6856.2001953125
19,140,6796.39990234375
19,141,7797.7001953125
19,142,6993.7001953125
19,143,9623.400390625
19,145,6870.10009765625
19,154,6425.0
19,155,5078.89990234375
19,156,7451.2998046875
19,157,8489.7998046875
19,159,5652.7001953125
19,160,6787.7001953125
19,161,9239.099609375
19,162,7980.7001953125
19,163,6152.0
19,164,9621.7998046875
19,175,2606.89990234375
19,176,8816.5
19,187,7292.39990234375
19,188,8733.7998046875
19,190,5005.7998046875
19,191,9697.7001953125
19,193,8985.0
19,194,9581.599609375
19,195,10412.599609375
19,198,7133.39990234375
19,199,6741.2001953125
19,205,4835.60009765625
19,206,4376.10009765625
20,0,7361.7001953125
20,4,9229.0
20,10,7889.7001953125
20,12,7027.5
20,13,10111.400390625
20,15,9565.5
20,17,9474.7001953125
20,19,1623.9000244140625
20,22,809.7999877929688
20,31,9927.400390625
20,32,1257.0999755859375
20,33,10440.099609375
20,36,8043.7998046875
